symbol,today_date,today_price
ZBRA,2021-11-03,563.6400146484375
JBHT,2021-11-03,194.26499938964844
AON,2021-11-03,298.989990234375
CE,2021-11-03,166.74000549316406
TECH,2021-11-03,491.489990234375
ZTS,2021-11-03,209.3300018310547
WM,2021-11-03,160.83999633789062
ROP,2021-11-03,471.2699890136719
MET,2021-11-03,65.30999755859375
BWA,2021-11-03,46.029998779296875
AIG,2021-11-03,61.38999938964844
SHW,2021-11-03,311.510009765625
MAS,2021-11-03,64.43000030517578
EMR,2021-11-03,96.91000366210938
XEL,2021-11-03,64.12000274658203
DRE,2021-11-03,56.150001525878906
KSU,2021-11-03,308.989990234375
ATO,2021-11-03,94.22000122070312
CDNS,2021-11-03,174.27000427246094
CHD,2021-11-03,88.5999984741211
ADI,2021-11-03,177.10000610351562
